company_ISIN,name,headquarters,size,year_founded,ownership_type,industry,sector,revenue
AU000000CAR3,World Car Auto Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000CBA7,Commonwealth Bank of Australia,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000COH5,Cochlear,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000CPU5,Computershare,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000CSL8,CSL,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000EVN4,Evolution Mining,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000FMG4,Fortescue,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000GMG2,Goodman Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000IAG3,Global Reach (Aus),Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000MPL3,Medibank,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000MQG1,Macquarie Technology Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000NAB4,NAB - National Australia Bank,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000NST8,Northern Star Resources,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000ORG5,Origin Energy,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000PME8,Pro Medicus,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000QAN2,Qantas,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000QBE9,QBE,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000REA9,REA Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000REH4,Reece,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000RIO1,Prefeitura de Rio Tinto,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000S320,South32,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000SCG8,Scentre Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000SGP0,Stockland,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000SHL7,Sonic Healthcare,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000SIG5,Sigma Healthcare,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000SOL3,Washington H. Soul Pattinson,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000STO6,Santos,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000SUN6,Suncorp Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000TCL6,Transurban,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000TLS2,Telstra,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000VCX7,Vicinity Centres,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000WBC1,Westpac Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000WES1,Wesfarmers,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000WOW2,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000WTC3,WiseTech Global,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU0000030678,Coles Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU0000219529,The Lottery Corporation,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU0000224040,Woodside Energy,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU0000364754,SGH Building & Carpentry,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0003565737,KBC,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0003604155,Lotus Bakeries,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0003717312,Sofina,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0003739530,UCB,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0003797140,Bruxelles Lambert,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0003822393,Elia,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0974259880,D'Ieteren,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0974293251,Anheuser-Busch InBev,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BE0974464977,Syensqo,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
BMG0112X1056,Aegon,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
