Company ISIN,Company Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CNE100003MM9,Advanced Micro-Fabrication Equipment,,,,,,,0.0,,0.0,,,,1.0,,,1.0,,
TW0002395001,Advantech Technologies,,,,,,,0.0,,0.0,,,,,1.0,,,1.0,
JP3122400009,Advantest,,,,,0.0,0.5,0.375,0.625,1.0,1.0,0.6,1.0,1.0,0.8,0.861111111111111,0.75,0.75,0.7
NL0012969182,Adyen,,,,,,,1.0,0.8,0.5,0.833333333333333,0.692307692307692,0.939393939393939,0.844444444444444,0.85981308411215,0.805084745762712,0.809815950920245,0.673469387755102,0.597701149425287
BMG0112X1056,Aegon,1.0,0.666666666666667,0.166666666666667,0.823529411764706,0.588235294117647,0.571428571428571,0.692307692307692,0.764705882352941,0.630434782608696,0.609756097560976,0.5625,0.482142857142857,0.673913043478261,0.739130434782609,0.765625,0.612244897959184,0.666666666666667,0.575757575757576
US0010551028,Aflac Northern Ireland ,,,,,,,,,,,,,,1.0,1.0,0.75,0.666666666666667,0.571428571428571
US00846U1016,Agilent Technologies,0.681818181818182,0.45,0.685714285714286,0.804347826086957,0.855670103092783,0.724770642201835,0.756521739130435,0.785714285714286,0.818965517241379,0.775510204081633,0.803571428571429,0.879699248120301,0.866666666666667,0.875457875457875,0.890756302521008,0.811926605504587,0.762790697674419,0.631147540983607
CA0084741085,Agnico Eagle,,,,,,1.0,,1.0,,0.857142857142857,1.0,0.666666666666667,0.833333333333333,0.789473684210526,0.884615384615385,0.821428571428571,0.863636363636364,0.7
CNE100000RJ0,Agricultural Bank of China,,,,,0.5,0.666666666666667,0.75,0.666666666666667,0.529411764705882,0.625,0.666666666666667,0.5,0.636363636363636,0.5,0.470588235294118,0.642857142857143,0.636363636363636,1.0
CNE000001NN0,Air China,,,,0.0,,,0.333333333333333,0.428571428571428,0.25,0.0,0.5,0.5,0.757575757575758,0.555555555555556,0.5,0.555555555555556,0.357142857142857,1.0
US0091581068,Air Products,1.0,1.0,0.75,0.6,0.53125,0.75,0.774193548387097,0.625,0.565656565656566,0.609375,0.779661016949153,0.85,0.773584905660377,0.732824427480916,0.796052631578947,0.81203007518797,0.828220858895706,0.679012345679012
KYG014081064,AirTAC,,,,,,0.0,,,,1.0,,,1.0,,1.0,0.5,1.0,0.0
US0090661010,Airbnb,,,,1.0,0.818181818181818,0.428571428571428,0.875,0.933333333333333,0.805031446540881,0.671232876712329,0.695945945945946,0.746268656716418,0.844594594594595,0.843537414965986,0.854077253218884,0.810126582278481,0.831818181818182,0.804054054054054
TH0765010Z08,Airports of Thailand,,,,,,,,,,,,,1.0,1.0,,0.5,,
